BuilderCompany;BuilderCompanyCode;BuilderObjectRu;BuildFinishDate;PDChangesBuildFinishDate
ООО СЗ ДЖЕВОССЕТ;04708;Московская область, Красногорский район, вблизи д. Марьино, 1-ый этап, жилой дом № 25;31.03.2023 0:00:00;30.09.2023 0:00:00
ООО СПЕЦИАЛИЗИРОВАННЫЙ ЗАСТРОЙЩИК РЕЗИДЕНС;RDM_2109048741;г. Москва, ул. Летная, влд. 95Б, Блок 10-С,Е, корпус 7;30.09.2022 0:00:00;30.06.2023 0:00:00
ООО СПЕЦИАЛИЗИРОВАННЫЙ ЗАСТРОЙЩИК РЕЗИДЕНС;RDM_2109048741;г. Москва, ул. Летная, влд. 95Б, Блок 10-С,Е, корпус 6;30.09.2022 0:00:00;30.06.2023 0:00:00
АО МОСОТДЕЛСТРОЙ № 1;RDM_0230260727;г. Москва, ЮАО, ул. 6-я Радиальная, вл. 7, корпус 28/29;;31.05.2023 0:00:00
АО СЗ Вектор Недвижимости;RDM_1095937111;Российская Федерация, Московская область, город Одинцово, улица Маковского, вл. 28;31.12.2022 0:00:00;31.03.2023 0:00:00
ООО Специализированный застройщик Дивное-Сити ;RDM_4067763490;Московская область, Ленинский район, сельское поселение Совхоз им. Ленина, д. Ближние Прудищи, уч. 68, корпус 3;30.06.2022 0:00:00;31.03.2023 0:00:00
ООО СЗ Самолет-Томилино;05544;Московская область, Люберецкий район, пос. Томилино, 3-ий этап 1-ый подэтап строительства: жилой дом №14;30.09.2020 0:00:00;30.06.2022 0:00:00
ООО БРУСНИКА;00834;Московская область, Ленинский район, д. Сапроново, 4 очередь строительства;31.12.2021 0:00:00;30.06.2023 0:00:00
ООО СЗ СЕВЕРНОЕ СИЯНИЕ;RDM_1770819021;Свердловская обл., г.Екатеринбург, Орджоникидзевский р-н,  ул. Красных борцов-Уральских рабочих-Кузнецова-Кировградской - четырехсекционный жилой комплекс №№7.1-7.4 по ПЗУ - секция 7.1;31.12.2021 0:00:00;
ООО СПЕЦИАЛИЗИРОВАННЫЙ ЗАСТРОЙЩИК ОЛИМП-АЛЬЯНС;RDM_3256128361;Московская область, Щелковский район, г. Щелково, микрорайон №5,  ул. Центральная, (поз. №2 по ГП), на земельном участке с кадастровым номером 50:14:0050412:1;30.06.2022 0:00:00;30.06.2023 0:00:00
ООО НОРДСЕРВИС;06209;г.Москва, СВАО, район Свиблово, проезд Серебрякова, вл. 11-13, корпус 1 (второй этап);31.12.2023 0:00:00;30.06.2024 0:00:00
АО Лобачевского 120;RDM_0370813470;г. Москва, ЗАО, район Раменки, ул. Лобачевского, вл.120, корпус 3;31.12.2021 0:00:00;31.12.2021 0:00:00
ООО ПЕРЕДЕЛКИНО БЛИЖНЕЕ;RDM_2733837595;г. Москва, п. Внуковское, д. Рассказовка, уч. 13/2, корп.7;31.12.2020 0:00:00;30.06.2021 0:00:00
АО СЗ Вектор Недвижимости;RDM_1095937111;Российская Федерация, Московская область, город Одинцово, улица Маковского, вл. 28;31.12.2022 0:00:00;31.03.2023 0:00:00
ООО Лексион Девелопмент;RDM_1794679677;г.Москва, п. Московский, д. Румянцево, вл.17Е, Дом Д-3;03.07.2023 0:00:00;31.12.2022 0:00:00
ООО ПЕРЕДЕЛКИНО БЛИЖНЕЕ;RDM_2733837595;гор.Москва, поселение Внуковское, дер.Рассказовка, уч. 13/2, корп.8;31.03.2024 0:00:00;31.12.2020 0:00:00
ООО НОРДСЕРВИС;06209;г.Москва, СВАО, район Свиблово, проезд Серебрякова, вл. 11-13, корпус 1 (второй этап);31.12.2023 0:00:00;30.06.2024 0:00:00
АО БАЛАНС - СПЕЦЗАСТРОЙЩИК;RDM_3962451040;г.Москва, Рязанский проспект, вл.26, з/у 1, корпус 1;30.09.2021 0:00:00;30.06.2022 0:00:00
